Year,County, Code,Deaths,Population,Crude Rate
2012,Preble ,39135,455,41886,1086.3
2012,Putnam ,39137,311,34198,909.4
2012,Richland ,39139,1310,122673,1067.9
2012,Ross ,39141,857,77429,1106.8
2012,Sandusky ,39143,594,60510,981.7
2012,Scioto ,39145,976,78477,1243.7
2012,Seneca ,39147,650,56018,1160.3
2012,Shelby ,39149,406,49167,825.8
2012,Stark ,39151,4070,374868,1085.7
2012,Summit ,39153,5522,540811,1021.1
2012,Trumbull ,39155,2529,207406,1219.3
2012,Tuscarawas ,39157,968,92392,1047.7
2012,Union ,39159,328,52715,622.2
2012,Van Wert ,39161,316,28744,1099.4
2012,Vinton ,39163,134,13239,1012.2
2012,Warren ,39165,1519,217241,699.2
2012,Washington ,39167,699,61475,1137
2012,Wayne ,39169,1067,114848,929.1
2012,Williams ,39171,367,37513,978.3
2012,Wood ,39173,959,128200,748
2012,Wyandot ,39175,231,22607,1021.8
2013,Adams ,39001,337,28105,1199.1
2013,Allen ,39003,1082,105298,1027.6
2013,Ashland ,39005,548,53043,1033.1
2013,Ashtabula ,39007,1193,99811,1195.3
2013,Athens ,39009,413,64681,638.5
2013,Auglaize ,39011,476,45920,1036.6
2013,Belmont ,39013,873,69571,1254.8
2013,Brown ,39015,501,44264,1131.8
2013,Butler ,39017,3190,371272,859.2
2013,Carroll ,39019,286,28275,1011.5
2013,Champaign ,39021,353,39455,894.7
2013,Clark ,39023,1663,136167,1221.3
2013,Clermont ,39025,1599,200218,798.6
2013,Clinton ,39027,431,41945,1027.5
2013,Columbiana ,39029,1274,105893,1203.1
2013,Coshocton ,39031,459,36760,1248.6
2013,Crawford ,39033,525,42808,1226.4
2013,Cuyahoga ,39035,13697,1263154,1084.3
2013,Darke ,39037,602,52376,1149.4
2013,Defiance ,39039,347,38532,900.6
2013,Delaware ,39041,989,184979,534.7
2013,Erie ,39043,930,76048,1222.9
2013,Fairfield ,39045,1166,148867,783.2
2013,Fayette ,39047,353,28800,1225.7
2013,Franklin ,39049,8907,1212263,734.7
2013,Fulton ,39051,428,42488,1007.3
2013,Gallia ,39053,370,30621,1208.3
2013,Geauga ,39055,776,93972,825.8
2013,Greene ,39057,1334,163204,817.4
2013,Guernsey ,39059,488,39636,1231.2
2013,Hamilton ,39061,7653,804520,951.3
2013,Hancock ,39063,663,75773,875
2013,Hardin ,39065,328,31641,1036.6
2013,Harrison ,39067,173,15622,1107.4
2013,Henry ,39069,248,28092,882.8
2013,Highland ,39071,454,43299,1048.5
2013,Hocking ,39073,315,28665,1098.9
2013,Holmes ,39075,304,43593,697.4
2013,Huron ,39077,628,58889,1066.4
2013,Jackson ,39079,382,32783,1165.2
2013,Jefferson ,39081,922,67964,1356.6
2013,Knox ,39083,566,60810,930.8
2013,Lake ,39085,2383,229857,1036.7
2013,Lawrence ,39087,752,61917,1214.5
2013,Licking ,39089,1466,168375,870.7
2013,Logan ,39091,480,45481,1055.4
2013,Lorain ,39093,2936,302827,969.5
2013,Lucas ,39095,4439,436393,1017.2
2013,Madison ,39097,397,43277,917.3
2013,Mahoning ,39099,3045,233869,1302
2013,Marion ,39101,705,65905,1069.7
2013,Medina ,39103,1353,174915,773.5
2013,Meigs ,39105,278,23496,1183.2
2013,Mercer ,39107,406,40784,995.5
2013,Miami ,39109,1067,103439,1031.5
2013,Monroe ,39111,178,14585,1220.4
2013,Montgomery ,39113,5893,535846,1099.8
2013,Morgan ,39115,171,14904,1147.3
2013,Morrow ,39117,295,35033,842.1
2013,Muskingum ,39119,932,85231,1093.5
2013,Noble ,39121,150,14628,1025.4
2013,Ottawa ,39123,486,41153,1181
2013,Paulding ,39125,171,19254,888.1
2013,Perry ,39127,324,35997,900.1
2013,Pickaway ,39129,503,56304,893.4
2013,Pike ,39131,344,28367,1212.7
2013,Portage ,39133,1373,163862,837.9
2013,Preble ,39135,460,41732,1102.3
2013,Putnam ,39137,310,34088,909.4
2013,Richland ,39139,1386,121773,1138.2
2013,Ross ,39141,763,77910,979.3
2013,Sandusky ,39143,667,60098,1109.9
2013,Scioto ,39145,937,78153,1198.9
2013,Seneca ,39147,569,55914,1017.6
2013,Shelby ,39149,433,49192,880.2
2013,Stark ,39151,4043,375432,1076.9
2013,Summit ,39153,5552,541824,1024.7
2013,Trumbull ,39155,2465,206442,1194
2013,Tuscarawas ,39157,1030,92672,1111.4
2013,Union ,39159,357,53306,669.7
2013,Van Wert ,39161,331,28459,1163.1
2013,Vinton ,39163,155,13276,1167.5
2013,Warren ,39165,1589,219169,725
2013,Washington ,39167,725,61310,1182.5
2013,Wayne ,39169,1052,115071,914.2
2013,Williams ,39171,403,37500,1074.7
2013,Wood ,39173,1022,129264,790.6
2013,Wyandot ,39175,256,22447,1140.5
2014,Adams ,39001,314,28129,1116.3
2014,Allen ,39003,1097,105040,1044.4
2014,Ashland ,39005,547,53035,1031.4
2014,Ashtabula ,39007,1156,99175,1165.6
2014,Athens ,39009,487,64713,752.6
2014,Auglaize ,39011,480,45841,1047.1
2014,Belmont ,39013,824,69461,1186.3
2014,Brown ,39015,485,44116,1099.4
2014,Butler ,39017,3145,374158,840.6
2014,Carroll ,39019,377,28187,1337.5
2014,Champaign ,39021,397,39128,1014.6
2014,Clark ,39023,1693,136554,1239.8
2014,Clermont ,39025,1658,201560,822.6
2014,Clinton ,39027,428,41835,1023.1
2014,Columbiana ,39029,1282,105686,1213
2014,Coshocton ,39031,397,36516,1087.2
2014,Crawford ,39033,586,42480,1379.5
2014,Cuyahoga ,39035,13288,1259828,1054.7
2014,Darke ,39037,582,52196,1115
2014,Defiance ,39039,400,38510,1038.7
2014,Delaware ,39041,1031,189113,545.2
2014,Erie ,39043,936,75828,1234.4
2014,Fairfield ,39045,1186,150381,788.7
2014,Fayette ,39047,350,28800,1215.3
2014,Franklin ,39049,9019,1231393,732.4
2014,Fulton ,39051,413,42580,969.9
2014,Gallia ,39053,374,30397,1230.4
